UEB_10	UEB_12	UEB_14	UEB_16	UEB_17	UEB_2	UEB_23	UEB_25	UEB_27	UEB_29	UEB_30	UEB_31	UEB_33	UEB_35	UEB_37	UEB_39	UEB_41	UEB_43	UEB_44	UEB_45	UEB_47	UEB_49	UEB_5	UEB_51	UEB_53	UEB_54	UEB_56	UEB_7	UEB_77	UEB_78	UEB_79	UEB_8	UEB_80	UEB_81	UEB_82	UEB_83	UEB_84
Signature.1	0.169452966438458	0	0.0802427861194433	0.150964553407762	0.202562608117379	0.295852864839204	0.0848172911427651	0.156740703031016	0.0745504104212989	0.0898693993924718	0	0.18707922400024	0.155817920212514	0.145551953441993	0.0673354133064157	0.141170529745372	0.150412605646968	0.179014049094259	0	0.128811121939802	0.163979758490845	0.338847290054565	0.169385391726241	0.320993512880141	0.168169757378267	0.155798966266294	0.283752445080989	0.0668142399120793	0	0.167619872110615	0.105888911584803	0	0.543029596983184	0.236434577588373	0.0966402103537408	0.125330434363556	0
Signature.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Signature.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Signature.4	0	0.0669782993708656	0	0	0	0	0	0.113574296342683	0	0.100254178607086	0.247294784761404	0.0881273879397584	0.0616686751425282	0.0848872789032069	0	0	0	0.145374977333118	0	0	0.14503434399078	0	0	0.065047790132043	0	0	0	0.1042877113809	0.137444414312393	0	0	0.183163702748595	0	0.0699949494264451	0	0	0
Signature.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0674401445567018	0	0
Signature.6	0.31434740332492	0.345335814795118	0.301083176507246	0.247872709813148	0.284410906367723	0.205071088585224	0.238980214963501	0.190241598190528	0.182952871800314	0.255590131873543	0.190781680750656	0.135036322335268	0.133105758146023	0	0.333353847055444	0.227487190541413	0.299609568510449	0.260465566429057	0.334796445396575	0.376036045061002	0.34925333100164	0.206921549724641	0.317416804372366	0.136965180192011	0.301475408854149	0.283521649816604	0.225892403765124	0.399375646901406	0.298562929603829	0.274602005625323	0.470083488827662	0.303678632298407	0.162152666558437	0.160749236329497	0.295331980225586	0.144962043656152	0.280918443422813
Signature.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Signature.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.079753759673426
Signature.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Signature.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0657819943454744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0631102840285596	0	0	0	0
Signature.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Signature.12	0.120289483902071	0.264090147391783	0.115989497948509	0.115627341556133	0.189414509369315	0.166454170268036	0.244152238399121	0.100464527843398	0.230086885540948	0.109857299978187	0	0.0938864728760218	0.157866821366226	0.124754648381696	0.206080690582786	0.298200471782212	0.165412679350422	0.155050379501572	0.242704805179226	0.0820377990148415	0	0.141810301278355	0.0937121618680518	0.146980875840834	0.175659492582059	0.251603787641471	0.111509725100393	0.188506916488017	0.235544943049496	0.2397483520949	0.242614662174411	0.228768595636973	0	0.248213155116264	0.256562763086158	0.275227319045897	0.15413452981612
Signature.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Signature.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
