Sample	TissueType	TOTAL_READS	ON_TARGET_BASES	MEAN_TARGET_COVERAGE	PCT_EXC_DUPE	PCT_EXC_OFF_TARGET	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	Seq
UEB_62	Normal	11393578	158498860	197.65316	0.631293	0.09744	0.999522	0.9991	0.995805	0.993678	0.992025	0.99063	0.988606	0.934936	S2
UEB_80	Tumor	7348090	95203089	118.721305	0.647422	0.090002	0.999396	0.998442	0.993403	0.990567	0.986516	0.977134	0.956723	0.637787	S2
UEB_81	Tumor	11405250	146786436	183.047392	0.660544	0.092236	0.999555	0.999044	0.995958	0.993827	0.991718	0.988363	0.979973	0.820585	S2
UEB_82	Tumor	9374370	140768844	175.543262	0.625202	0.098462	0.999405	0.998482	0.995178	0.992928	0.991276	0.988736	0.983597	0.843784	S2
UEB_83	Tumor	11034688	125430061	156.415308	0.680187	0.089878	0.999685	0.999284	0.995864	0.992899	0.990355	0.98519	0.973554	0.776463	S2
UEB_84	Tumor	12168030	170372837	212.460391	0.633617	0.091249	0.999764	0.998943	0.995119	0.992682	0.991125	0.989327	0.985007	0.887435	S2
UEB_10	Tumor	9708356	823867	201.372	0.3474	0.0999272	0.995937	0.993716	0.991879	0.989772	0.986587	0.937029	0.182474	0.04724877	S1
UEB_11	Normal	10645868	179304191	223.598075	0.584841	0.241733	0.999088	0.998108	0.994987	0.992332	0.989374	0.983119	0.974956	0.873941	S1
UEB_12	Tumor	9949670	818366	201.38	0.3288	0.0998683	0.995484	0.993714	0.991505	0.989027	0.985618	0.930412	0.1887832	0.04939757	S1
UEB_13	Normal	7868432	828937	201.13	0.3514	0.0999027	0.995502	0.993503	0.990971	0.987653	0.983755	0.91442	0.1651344	0.0459108	S1
UEB_14	Tumor	9866592	174581260	217.708429	0.567336	0.247436	0.999001	0.998324	0.994847	0.992357	0.989231	0.985322	0.978379	0.898058	S1
UEB_15	Normal	8981528	177996388	221.967203	0.5512	0.277632	0.998919	0.998178	0.995961	0.994294	0.992492	0.989456	0.986067	0.931099	S1
UEB_16	Tumor	9090868	819262	147.06	0.1431	0.0998969	0.99507	0.991712	0.985886	0.974791	0.956848	0.77536	0.1065013	0.05508535	S1
UEB_17	Tumor	7727306	100525627	125.35868	0.14339	0.1586819	0.998921	0.993696	0.988758	0.979074	0.961845	0.934415	0.667677	0.0969716	S1
UEB_18	Normal	10201342	153681987	191.646365	0.612847	0.220034	0.998929	0.998465	0.9953	0.992792	0.990524	0.988107	0.984577	0.934628	S1
UEB_1	Normal	10498568	172510396	215.125995	0.587992	0.238349	0.999272	0.99863	0.995231	0.992821	0.989537	0.985169	0.978287	0.888532	S1
UEB_21	Normal	9688566	842214	131.682	0.1286	0.0998006	0.993721	0.990037	0.984979	0.975523	0.961752	0.758035	0.1162794	0.05630079	S1
UEB_23	Tumor	9987832	147147904	183.498154	0.15397	0.1581881	0.997921	0.994607	0.991771	0.988858	0.98326	0.974354	0.862597	0.1406174	S1
UEB_24	Normal	11330798	107034471	133.4754171	0.18377	0.07851495	0.949947	0.838989	0.787739	0.750892	0.719293	0.690662	0.560521	0.0921143	S1
UEB_25	Tumor	12980666	142001975	177.081016	0.626754	0.219202	0.978485	0.948868	0.849922	0.808165	0.776987	0.750844	0.726772	0.6243	S1
UEB_26	Normal	11654414	120933479	150.807926	0.626847	0.211346	0.975626	0.940459	0.833372	0.785202	0.750651	0.722161	0.694303	0.576517	S1
UEB_27	Tumor	11962286	141930060	176.991336	0.616389	0.228954	0.981927	0.955584	0.858558	0.817355	0.788879	0.76404	0.741528	0.641971	S1
UEB_28	Normal	10617676	144649058	180.382013	0.580804	0.256193	0.977556	0.949737	0.8583	0.816453	0.78874	0.76252	0.740347	0.641387	S1
UEB_29	Tumor	10259830	172732079	215.402441	0.14397	0.1583841	0.998697	0.995238	0.993296	0.991349	0.98799	0.983731	0.911912	0.1614551	S1
UEB_2	Tumor	9459566	836183	171.218	0.1981	0.0998749	0.995056	0.992633	0.989718	0.985335	0.97854	0.864315	0.1395869	0.05158751	S1
UEB_30	Tumor	10771890	130100659	162.239693	0.601835	0.233862	0.977072	0.943645	0.844614	0.804696	0.775403	0.749926	0.726222	0.618837	S1
UEB_31	Tumor	11079296	155826737	194.320937	0.58163	0.264311	0.982244	0.958868	0.870553	0.832166	0.806355	0.784141	0.762788	0.675181	S1
UEB_32	Normal	11729748	122144404	152.317988	0.630112	0.20813	0.969435	0.933047	0.827752	0.783467	0.749041	0.720584	0.693221	0.572817	S1
UEB_33	Tumor	8407298	111463326	138.998341	0.562736	0.254848	0.965945	0.927858	0.828802	0.785698	0.752359	0.722116	0.696391	0.576348	S1
UEB_34	Normal	13368238	144737295	180.492048	0.628881	0.222182	0.981929	0.957037	0.857444	0.820056	0.790918	0.768309	0.746346	0.65126	S1
UEB_35	Tumor	9858664	731222	161.146	0.1789	0.0977138	0.848237	0.808492	0.779621	0.7527	0.729621	0.626457	0.1048006	0.039528572	S1
UEB_36	Normal	12350532	174904630	218.111682	0.64479	0.209372	0.999103	0.998669	0.9958	0.993529	0.990963	0.987996	0.983284	0.912019	S1
